NEWID,FAM_SIZE,NUM_AUTO,FINCBTXM,TOTEXP,ALCBEV,FOOD,FDHOME,FDMAP,FDAWAY,MAJAPP,TENTRM,EDUCA,ELCTRC
4379694,1,0,13680.0,19444.0,0.0,6240.0,4160.0,0.0,2080.0,0.0,0.0,0.0,1680.0
4379714,1,0,34866.0,30420.0,0.0,4680.0,3120.0,0.0,1560.0,0.0,0.0,0.0,2220.0
4379734,4,1,97669.6,62612.4,1560.0,15600.0,14300.0,0.0,1300.0,0.0,0.0,0.0,1032.0
4379754,1,1,20982.0,41900.0,0.0,8580.0,6500.0,0.0,2080.0,1100.0,0.0,0.0,2400.0
4379764,1,0,45000.0,30435.0004,0.0,2600.0,2600.0,0.0,0.0,0.0,0.0,0.0,2160.0
4379784,2,1,29100.0,18898.0,0.0,4420.0,3380.0,0.0,1040.0,0.0,0.0,0.0,720.0
4379824,4,1,306450.0,118615.0004,240.0,16900.0,11700.0,0.0,5200.0,0.0,0.0,0.0,3480.0
4379834,1,0,63136.0,58356.0,0.0,156.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
4379874,3,1,30795.4,39662.3996,480.0,5720.0,5720.0,0.0,0.0,0.0,0.0,0.0,1360.0
4379884,1,0,8982.0,12136.0,0.0,3120.0,3120.0,0.0,0.0,0.0,0.0,0.0,0.0
4379894,4,1,160000.0,59748.0,0.0,8320.0,8320.0,0.0,0.0,0.0,0.0,0.0,4200.0
4379954,1,0,105000.0,88013.0004,0.0,15496.0,10296.0,0.0,5200.0,0.0,0.0,0.0,480.0
4379964,2,1,16117.2,20184.0,0.0,2080.0,2080.0,0.0,0.0,0.0,0.0,0.0,960.0
4379974,5,1,137792.0,100969.9996,1160.0,16880.0,14700.0,0.0,2180.0,0.0,0.0,0.0,2408.0
4380004,5,0,90000.0,68045.0,1200.0,26000.0,20800.0,0.0,5200.0,0.0,0.0,0.0,1296.0
4380034,4,1,80491.0,130144.0,0.0,19500.0,14300.0,0.0,5200.0,0.0,0.0,0.0,1680.0
4380054,4,0,37460.8,48310.2,300.0,4576.0,4576.0,0.0,0.0,0.0,0.0,0.0,2876.0
4380094,2,1,120000.0,232464.0,180.0,2860.0,2600.0,0.0,260.0,0.0,0.0,50400.0,836.0
